VolcanoNumber,VolcanoName,Country,PrimaryVolcanoType,ActivityEvidence,LastKnownEruption,Region,Subregion,Latitude,Longitude,Elevation,DominantRockType,TectonicSetting,,,Multiple
222010,Central Island,Kenya,tuff-cone,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),3.5,36.042,550,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,true
222020,South Island,Kenya,stratovolcano,Eruption Observed,1888 CE,Africa and Red Sea,Africa (eastern),2.63,36.6,800,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,false
222021,Marsabit,Kenya,shield,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (eastern),2.32,37.97,1707,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,false
222030,"Barrier, The",Kenya,shield,Eruption Observed,1921 CE,Africa and Red Sea,Africa (eastern),2.32,36.57,1032,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),,,false
222040,Namarunu,Kenya,shield,Eruption Dated,6550 BCE,Africa and Red Sea,Africa (eastern),1.98,36.43,817,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,false
222050,Segererua Plateau,Kenya,pyroclastic-cone,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),1.57,37.9,699,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,true
222051,Emuruangogolak,Kenya,shield,Eruption Dated,1910 CE,Africa and Red Sea,Africa (eastern),1.5,36.33,1328,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),,,false
222052,Silali,Kenya,shield,Eruption Dated,5050 BCE,Africa and Red Sea,Africa (eastern),1.15,36.23,1528,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),,,false
222053,Paka,Kenya,shield,Eruption Dated,7550 BCE,Africa and Red Sea,Africa (eastern),0.92,36.18,1697,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),,,false
222054,Korosi,Kenya,shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),0.77,36.12,1446,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),,,false
222055,Ol Kokwe,Kenya,shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),0.62,36.075,1130,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,false
222056,Nyambeni Hills,Kenya,shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),0.23,37.87,750,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,false
222060,Menengai,Kenya,shield,Eruption Dated,6050 BCE,Africa and Red Sea,Africa (eastern),-0.2,36.07,2278,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),,,false
222070,Homa Mountain,Kenya,complex,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-0.38,34.5,1751,Foidite,Rift zone / Continental crust (>25 km),,,false
222071,Elmenteita Badlands,Kenya,pyroclastic-cone,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-0.52,36.27,2126,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km),,,true
222080,"Eburru, Ol Doinyo",Kenya,complex,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-0.65,36.22,2856,Rhyolite,Rift zone / Continental crust (>25 km),,,false
222090,Olkaria,Kenya,pyroclastic-cone,Eruption Dated,1770 CE,Africa and Red Sea,Africa (eastern),-0.904,36.292,2434,Rhyolite,Rift zone / Continental crust (>25 km),,,true
222100,Longonot,Kenya,stratovolcano,Eruption Dated,1863 CE,Africa and Red Sea,Africa (eastern),-0.914,36.446,2776,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km),,,false
